"統計年月","縣市","行政區域","售電量度數"
"201603","台北市","內湖區週美里",2398058
"201603","台北市","內湖區紫星里",1505725
"201603","台北市","內湖區紫陽里",1869776
"201603","台北市","內湖區紫雲里",1032884
"201603","台北市","士林區百齡里",1212005
"201603","台北市","士林區承德里",1711980
"201603","台北市","士林區翠山里",735220
"201603","台北市","士林區德華里",1343846
"201603","台北市","士林區德行里",1289686
"201603","台北市","士林區東山里",1479520
"201603","台北市","士林區福安里",810812
"201603","台北市","士林區福德里",1536424
"201603","台北市","士林區福華里",1100552
"201603","台北市","士林區福佳里",1864108
"201603","台北市","士林區福林里",923544
"201603","台北市","士林區福順里",1079498
"201603","台北市","士林區福志里",1877723
"201603","台北市","士林區福中里",1432491
"201603","台北市","士林區富光里",1064509
"201603","台北市","士林區富洲里",1023694
"201603","台北市","士林區公館里",529684
"201603","台北市","士林區後港里",1747489
"201603","台北市","士林區葫東里",836835
"201603","台北市","士林區葫蘆里",1462232
"201603","台北市","士林區菁山里",582787
"201603","台北市","士林區舊佳里",1310082
"201603","台北市","士林區蘭興里",1823485
"201603","台北市","士林區蘭雅里",2245719
"201603","台北市","士林區臨溪里",1452922
"201603","台北市","士林區名山里",1724105
"201603","台北市","士林區明勝里",1056766
"201603","台北市","士林區平等里",392510
"201603","台北市","士林區前港里",977049
"201603","台北市","士林區仁勇里",1165070
"201603","台北市","士林區三玉里",1649285
"201603","台北市","士林區社新里",1743695
"201603","台北市","士林區社園里",1314883
"201603","台北市","士林區社子里",1231062
"201603","台北市","士林區聖山里",1210723
"201603","台北市","士林區天福里",1718509
"201603","台北市","士林區天和里",2170181
"201603","台北市","士林區天祿里",1567106
"201603","台北市","士林區天母里",2684956
"201603","台北市","士林區天山里",2148915
"201603","台北市","士林區天壽里",1826061
"201603","台北市","士林區天玉里",2665657
"201603","台北市","士林區溪山里",458503
"201603","台北市","士林區新安里",897921
"201603","台北市","士林區岩山里",949738
"201603","台北市","士林區陽明里",2488325
"201603","台北市","士林區義信里",1008828
"201603","台北市","士林區永福里",920830
"201603","台北市","士林區永倫里",1430345
"201603","台北市","士林區芝山里",2229187
"201603","台北市","士林區忠誠里",1625160
"201603","台北市","松山區安平里",2325837
"201603","台北市","松山區慈祐里",2166095
"201603","台北市","松山區東昌里",596592
"201603","台北市","松山區東光里",1688512
"201603","台北市","松山區東榮里",2057951
"201603","台北市","松山區東勢里",1055437
"201603","台北市","松山區敦化里",1712486
"201603","台北市","松山區福成里",599572
"201603","台北市","松山區富錦里",1211406
"201603","台北市","松山區富泰里",1079403
"201603","台北市","松山區復建里",1012479
"201603","台北市","松山區復盛里",1587326
"201603","台北市","松山區復勢里",1572049
"201603","台北市","松山區復源里",697352
"201603","台北市","松山區吉仁里",907772
"201603","台北市","松山區吉祥里",2547325
"201603","台北市","松山區介壽里",1011998
"201603","台北市","松山區精忠里",1064739
"201603","台北市","松山區龍田里",1997265
"201603","台北市","松山區美仁里",741674
